checkin_type,delay_at_checkout_in_minutes
mobile,20.0
mobile,10.0
mobile,69.0
mobile,335.0
mobile,-20.0
mobile,403.0
mobile,1.0
connect,-167.0
mobile,136.0
mobile,62.0
mobile,-55.0
mobile,-100.0
mobile,-80.0
mobile,41.0
mobile,45.0
mobile,436.0
mobile,-43.0
connect,-155.0
mobile,-3.0
mobile,42.0
connect,-1.0
mobile,-10.0
mobile,15.0
mobile,7.0
mobile,181.0
mobile,14.0
mobile,7.0
mobile,-10.0
mobile,-52.0
mobile,-34.0
connect,162.0
mobile,946.0
mobile,-12.0
connect,-76.0
mobile,1.0
mobile,-20.0
mobile,-17.0
connect,-154.0
mobile,-53.0
mobile,300.0
mobile,-25.0
mobile,-15.0
connect,9.0
mobile,22.0
mobile,28.0
mobile,106.0
mobile,3.0
mobile,10.0
mobile,-169.0
mobile,-67.0
mobile,-101.0
mobile,14.0
mobile,3371.0
mobile,-19.0
mobile,0.0
mobile,9.0
mobile,1110.0
mobile,-54.0
connect,0.0
mobile,-138.0
mobile,38.0
mobile,6.0
connect,82.0
mobile,-10.0
mobile,-16.0
mobile,107.0
mobile,49.0
mobile,32.0
mobile,142.0
mobile,44.0
mobile,48.0
mobile,-97.0
connect,58.0
mobile,25.0
connect,-651.0
mobile,66.0
mobile,243.0
connect,-73.0
mobile,16.0
mobile,349.0
connect,-44.0
mobile,28.0
mobile,27.0
mobile,41.0
connect,-425.0
mobile,-35.0
connect,-125.0
mobile,59.0
mobile,100.0
connect,-353.0
mobile,-29.0
mobile,22.0
connect,101.0
connect,-90.0
mobile,21.0
mobile,4265.0
mobile,30.0
mobile,58.0
mobile,-12.0
mobile,43.0
connect,-19.0
mobile,90.0
mobile,67.0
connect,-173.0
mobile,-685.0
mobile,76.0
connect,-55.0
mobile,-81.0
mobile,14.0
connect,-17.0
connect,-90.0
mobile,21.0
mobile,12.0
mobile,1101.0
mobile,-9.0
mobile,-1.0
mobile,-15.0
mobile,28.0
mobile,-26.0
mobile,-24.0
mobile,110.0
mobile,1360.0
mobile,42.0
mobile,-238.0
mobile,89.0
connect,-22.0
mobile,694.0
connect,183.0
connect,119.0
mobile,-70.0
mobile,22.0
mobile,42.0
connect,-73.0
mobile,-65.0
mobile,6.0
mobile,-746.0
mobile,9.0
mobile,-5.0
mobile,-191.0
connect,-60.0
mobile,6.0
connect,-53.0
connect,-104.0
mobile,1490.0
mobile,16.0
mobile,7.0
connect,28.0
mobile,14.0
mobile,-10.0
mobile,-1.0
connect,-11.0
mobile,248.0
connect,-157.0
mobile,-38.0
mobile,-95.0
connect,203.0
mobile,-33.0
mobile,-36.0
mobile,33.0
mobile,33.0
connect,26.0
mobile,4.0
connect,26.0
mobile,-25.0
connect,-174.0
mobile,110.0
mobile,-129.0
connect,62.0
mobile,-2.0
connect,-60.0
mobile,159.0
mobile,-67.0
mobile,98.0
mobile,-51.0
mobile,-105.0
mobile,-58.0
mobile,-14.0
mobile,-98.0
connect,-8.0
mobile,-234.0
mobile,379.0
connect,-24.0
mobile,69.0
mobile,-17.0
mobile,-7.0
mobile,610.0
mobile,3.0
mobile,102.0
mobile,-179.0
mobile,28.0
mobile,81.0
mobile,-1.0
mobile,3.0
mobile,747.0
mobile,8.0
mobile,614.0
mobile,4.0
mobile,28.0
mobile,5.0
connect,69.0
connect,3.0
connect,-223.0
connect,-87.0
mobile,870.0
connect,-120.0
connect,113.0
mobile,47.0
mobile,78.0
mobile,-10.0
mobile,147.0
mobile,458.0
mobile,166.0
mobile,160.0
mobile,-2791.0
mobile,20.0
mobile,12.0
mobile,0.0
mobile,15.0
mobile,-761.0
mobile,21.0
mobile,-117.0
mobile,-2.0
mobile,1357.0
connect,7.0
connect,3.0
connect,-125.0
mobile,35.0
mobile,31.0
mobile,-159.0
mobile,32.0
mobile,130.0
mobile,-25.0
mobile,12.0
mobile,14.0
connect,-94.0
mobile,224.0
mobile,-6.0
mobile,57.0
mobile,628.0
mobile,661.0
mobile,113.0
mobile,69.0
connect,-166.0
mobile,-26.0
connect,-37.0
mobile,67.0
mobile,19.0
mobile,-2.0
mobile,18.0
connect,21.0
mobile,-477.0
mobile,74.0
connect,-180.0
mobile,-18.0
mobile,15.0
connect,35.0
mobile,4.0
connect,54.0
mobile,61.0
mobile,147.0
mobile,25.0
connect,-117.0
mobile,117.0
mobile,170.0
mobile,-199.0
mobile,64.0
mobile,-227.0
connect,23.0
mobile,20.0
mobile,5.0
connect,28.0
mobile,-25.0
mobile,-29.0
mobile,-230.0
mobile,-113.0
mobile,-6.0
mobile,-1.0
connect,-249.0
mobile,17.0
mobile,-31.0
connect,51.0
mobile,-4.0
mobile,88.0
mobile,146.0
mobile,-50.0
mobile,2.0
mobile,179.0
connect,108.0
mobile,13.0
mobile,-33.0
mobile,19.0
mobile,41.0
connect,28.0
mobile,35.0
connect,-281.0
mobile,-79.0
mobile,532.0
mobile,30.0
mobile,2.0
mobile,31.0
mobile,-45.0
connect,-8.0
mobile,243.0
connect,-346.0
mobile,42.0
mobile,34.0
mobile,-13.0
mobile,-31.0
connect,6.0
connect,-117.0
mobile,320.0
mobile,-221.0
mobile,-7.0
mobile,-56.0
mobile,-47.0
mobile,4.0
mobile,12.0
mobile,42.0
mobile,-25.0
mobile,9.0
mobile,-13.0
mobile,-77.0
mobile,25.0
mobile,-13.0
mobile,-49.0
mobile,10.0
mobile,2.0
mobile,-107.0
mobile,96.0
mobile,-85.0
mobile,-50.0
mobile,9.0
connect,87.0
mobile,-442.0
mobile,-290.0
mobile,7.0
mobile,26.0
mobile,-38.0
connect,8.0
connect,-116.0
mobile,58.0
mobile,-29.0
mobile,104.0
mobile,15.0
mobile,-13.0
mobile,208.0
connect,1.0
connect,89.0
mobile,-14.0
connect,10.0
connect,-570.0
mobile,-81.0
mobile,182.0
connect,6.0
mobile,370.0
mobile,126.0
connect,-114.0
mobile,73.0
mobile,8.0
mobile,-3030.0
mobile,-91.0
mobile,44.0
mobile,124.0
mobile,-58.0
mobile,8.0
mobile,78.0
mobile,49.0
mobile,-13.0
mobile,97.0
mobile,2632.0
mobile,-1.0
connect,245.0
connect,-308.0
mobile,20.0
mobile,76.0
mobile,48.0
mobile,31.0
mobile,62.0
mobile,60.0
mobile,203.0
connect,35.0
mobile,-23.0
connect,-58.0
mobile,62.0
mobile,71084.0
mobile,-201.0
mobile,-159.0
mobile,4.0
mobile,21.0
mobile,351.0
mobile,4.0
connect,-1.0
mobile,322.0
mobile,57.0
mobile,38.0
mobile,1151.0
mobile,38.0
mobile,-11.0
mobile,25.0
mobile,23126.0
mobile,151.0
mobile,28.0
mobile,16.0
mobile,29.0
mobile,-40.0
mobile,900.0
mobile,3.0
connect,-51.0
mobile,-34.0
mobile,385.0
mobile,-126.0
mobile,11.0
mobile,-124.0
mobile,-889.0
mobile,16.0
mobile,-84.0
mobile,11.0
mobile,1505.0
mobile,719.0
mobile,66.0
mobile,-169.0
mobile,-47.0
mobile,235.0
mobile,48.0
connect,186.0
mobile,38.0
mobile,58.0
mobile,41.0
mobile,-64.0
mobile,-53.0
connect,-211.0
mobile,28.0
mobile,38.0
connect,22.0
connect,-40.0
mobile,-100.0
mobile,7.0
mobile,-24.0
mobile,1808.0
mobile,-47.0
mobile,-17.0
mobile,88.0
mobile,273.0
mobile,-17.0
mobile,-114.0
connect,54.0
mobile,33.0
mobile,-78.0
mobile,-215.0
connect,485.0
connect,454.0
mobile,-6.0
mobile,-50.0
mobile,8.0
mobile,217.0
mobile,67.0
mobile,-6.0
mobile,101.0
mobile,43.0
mobile,-44.0
mobile,128.0
mobile,-125.0
mobile,72.0
mobile,108.0
mobile,131.0
connect,71.0
mobile,225.0
mobile,377.0
connect,-884.0
mobile,6.0
mobile,8.0
connect,2.0
mobile,2.0
connect,4.0
mobile,-3.0
mobile,-33.0
mobile,-79.0
mobile,-79.0
connect,12.0
mobile,51.0
mobile,-21.0
mobile,-20.0
mobile,19.0
mobile,13.0
mobile,-147.0
mobile,41.0
mobile,12.0
mobile,240.0
mobile,-54.0
mobile,7.0
connect,27.0
mobile,6.0
mobile,343.0
mobile,-9.0
mobile,54.0
mobile,8.0
mobile,8.0
mobile,-79.0
connect,69.0
connect,-34.0
mobile,-218.0
mobile,10.0
mobile,2.0
mobile,446.0
mobile,259.0
mobile,-9.0
mobile,-94.0
mobile,5.0
mobile,3.0
connect,-788.0
mobile,27.0
mobile,-4.0
mobile,60.0
mobile,92.0
mobile,124.0
mobile,51.0
mobile,102.0
mobile,16.0
mobile,56.0
mobile,28.0
mobile,-47.0
connect,11.0
mobile,2.0
mobile,1397.0
connect,280.0
connect,-58.0
connect,50.0
mobile,50.0
mobile,14.0
mobile,-32.0
mobile,41.0
mobile,-107.0
connect,-1.0
mobile,-56.0
connect,194.0
mobile,1017.0
mobile,-6.0
mobile,-3.0
mobile,424.0
connect,106.0
mobile,1219.0
mobile,1.0
mobile,840.0
mobile,99.0
mobile,51.0
mobile,194.0
mobile,236.0
mobile,-4.0
mobile,6.0
mobile,-14.0
mobile,130.0
mobile,7.0
mobile,55.0
mobile,-24.0
connect,254.0
mobile,-6.0
mobile,-25.0
mobile,-280.0
mobile,302.0
mobile,-18.0
mobile,15.0
mobile,-3.0
mobile,-90.0
mobile,-14.0
mobile,-37.0
mobile,28.0
mobile,14.0
mobile,274.0
mobile,7.0
mobile,-32.0
connect,42.0
mobile,69.0
mobile,116.0
mobile,64.0
mobile,23.0
mobile,-26.0
mobile,-83.0
mobile,102.0
mobile,78.0
connect,-82.0
connect,-324.0
connect,6.0
mobile,72.0
mobile,12.0
connect,49.0
mobile,-7.0
mobile,14.0
mobile,5.0
mobile,103.0
mobile,-104.0
mobile,-78.0
mobile,13.0
connect,40.0
mobile,29.0
mobile,-104.0
mobile,-7.0
mobile,-20.0
mobile,20.0
mobile,-50.0
mobile,153.0
mobile,-45.0
mobile,92.0
mobile,8.0
connect,12.0
mobile,-66.0
mobile,-45.0
mobile,55.0
mobile,-39.0
connect,76.0
mobile,-264.0
mobile,-6.0
mobile,77.0
mobile,5.0
mobile,-136.0
mobile,-24.0
mobile,6.0
mobile,-19.0
mobile,23.0
mobile,0.0
mobile,39.0
mobile,79.0
mobile,73.0
connect,-972.0
connect,29.0
mobile,18.0
mobile,205.0
mobile,96.0
mobile,64.0
connect,-221.0
mobile,407.0
mobile,327.0
connect,13.0
mobile,-7.0
mobile,205.0
mobile,20.0
mobile,-30.0
mobile,4.0
mobile,103.0
mobile,-19.0
mobile,-35.0
mobile,36.0
mobile,-29.0
connect,-11.0
connect,-59.0
mobile,-115.0
mobile,-144.0
mobile,-111.0
mobile,422.0
mobile,4.0
mobile,312.0
mobile,1610.0
connect,122.0
mobile,-5.0
connect,-5.0
connect,-135.0
mobile,13.0
mobile,594.0
mobile,20.0
mobile,33.0
connect,-42.0
mobile,37.0
mobile,58.0
connect,-27.0
mobile,126.0
mobile,5.0
mobile,-43.0
connect,-44.0
mobile,85.0
connect,-77.0
mobile,-109.0
mobile,-1.0
mobile,9.0
mobile,-15.0
mobile,101.0
mobile,6.0
mobile,26.0
mobile,31.0
mobile,82.0
mobile,-23.0
mobile,37.0
mobile,-48.0
connect,72.0
mobile,262.0
mobile,89.0
mobile,-155.0
connect,13.0
mobile,-1418.0
connect,11.0
mobile,0.0
mobile,167.0
mobile,-8.0
mobile,12968.0
mobile,-6.0
connect,4.0
mobile,-89.0
mobile,-77.0
mobile,-178.0
connect,-130.0
mobile,-22.0
mobile,16.0
mobile,-12.0
mobile,19.0
mobile,146.0
mobile,352.0
mobile,-4.0
mobile,71.0
connect,-125.0
mobile,2444.0
mobile,22.0
mobile,-311.0
mobile,859.0
mobile,-85.0
mobile,-60.0
mobile,-10.0
mobile,136.0
mobile,-83.0
mobile,78.0
mobile,49.0
mobile,15.0
mobile,-47.0
mobile,26.0
mobile,187.0
connect,27.0
mobile,-2.0
mobile,-172.0
mobile,131.0
mobile,65.0
mobile,14.0
mobile,-75.0
mobile,96.0
mobile,137.0
mobile,-12.0
mobile,-50.0
mobile,-343.0
mobile,-71.0
mobile,-6.0
mobile,15.0
connect,128.0
mobile,-92.0
mobile,-3.0
mobile,209.0
mobile,-136.0
mobile,63.0
mobile,-87.0
mobile,-885.0
mobile,-25.0
mobile,1038.0
connect,1.0
mobile,-8.0
mobile,7.0
mobile,74.0
mobile,5.0
mobile,-52.0
mobile,128.0
mobile,11.0
mobile,508.0
mobile,-178.0
connect,346.0
mobile,1133.0
mobile,69.0
mobile,735.0
mobile,1691.0
mobile,14.0
mobile,1057.0
connect,137.0
mobile,144.0
mobile,-59.0
mobile,22.0
mobile,588.0
mobile,-41.0
mobile,88.0
mobile,9.0
mobile,-57.0
mobile,121.0
mobile,109.0
mobile,26.0
mobile,34.0
mobile,95.0
connect,-4.0
mobile,1499.0
mobile,-65.0
mobile,31.0
mobile,-105.0
mobile,-321.0
mobile,175.0
mobile,258.0
connect,-257.0
mobile,-87.0
mobile,-115.0
connect,28.0
mobile,-34.0
connect,-6.0
mobile,17.0
connect,-5.0
mobile,-95.0
mobile,14.0
mobile,-1.0
mobile,-534.0
mobile,37.0
mobile,-20.0
mobile,67.0
mobile,42.0
mobile,-115.0
mobile,-6.0
mobile,-83.0
mobile,-39.0
mobile,-2.0
mobile,-95.0
mobile,-74.0
mobile,86.0
connect,88.0
mobile,89.0
connect,-36.0
mobile,18.0
mobile,96.0
mobile,-273.0
mobile,-33.0
connect,-3.0
mobile,-23.0
mobile,166.0
mobile,-4.0
mobile,228.0
mobile,48.0
mobile,-153.0
mobile,14.0
mobile,-160.0
connect,-43.0
mobile,-17.0
mobile,7.0
mobile,29.0
connect,-38.0
mobile,-14.0
mobile,9.0
connect,-128.0
mobile,-31.0
connect,31.0
mobile,38.0
connect,-51.0
mobile,9.0
mobile,40.0
mobile,5.0
connect,-31.0
connect,-262.0
mobile,-105.0
mobile,-112.0
mobile,518.0
mobile,-74.0
connect,115.0
mobile,-84.0
mobile,801.0
mobile,21.0
mobile,18.0
mobile,148.0
mobile,-14.0
connect,4.0
connect,155.0
mobile,-32.0
mobile,139.0
mobile,47.0
mobile,-778.0
connect,-16.0
mobile,91.0
mobile,-1535.0
connect,227.0
mobile,11.0
mobile,-7.0
connect,-161.0
mobile,251.0
connect,-25.0
connect,-104.0
connect,180.0
connect,90.0
mobile,-60.0
connect,273.0
mobile,2.0
mobile,-143.0
connect,-2.0
mobile,5.0
mobile,-2.0
connect,-14.0
mobile,34.0
mobile,79.0
mobile,68.0
mobile,-20.0
connect,-556.0
mobile,468.0
mobile,-29.0
mobile,172.0
connect,57.0
mobile,136.0
mobile,-19.0
connect,-56.0
mobile,-43.0
mobile,14.0
mobile,856.0
mobile,-58.0
mobile,37.0
mobile,14.0
mobile,-90.0
mobile,-87.0
mobile,98.0
mobile,36.0
mobile,86.0
mobile,3.0
connect,650.0
mobile,35.0
connect,-87.0
mobile,-50.0
mobile,-7.0
mobile,-229.0
mobile,155.0
mobile,28.0
mobile,-88.0
mobile,65.0
mobile,240.0
connect,-560.0
mobile,0.0
mobile,-3.0
mobile,-1561.0
mobile,-18.0
mobile,203.0
mobile,179.0
mobile,-80.0
mobile,26.0
mobile,157.0
mobile,203.0
mobile,173.0
mobile,1415.0
connect,191.0
mobile,-23.0
mobile,78.0
mobile,-373.0
mobile,74.0
mobile,27.0
mobile,93.0
mobile,17.0
mobile,26.0
mobile,-4.0
mobile,3269.0
mobile,69.0
mobile,89.0
mobile,-39.0
connect,144.0
mobile,6.0
connect,63.0
mobile,22.0
mobile,64.0
mobile,608.0
mobile,3.0
mobile,-77.0
mobile,7.0
mobile,527.0
mobile,25.0
mobile,-220.0
mobile,51.0
mobile,-94.0
connect,-162.0
connect,-46.0
mobile,64059.0
mobile,-55.0
mobile,-45.0
connect,-14.0
mobile,323.0
mobile,13.0
mobile,88.0
mobile,26.0
connect,-79.0
connect,59.0
connect,8.0
mobile,-9.0
mobile,-6.0
mobile,-1.0
mobile,99.0
mobile,99.0
connect,34.0
mobile,30.0
mobile,-34.0
mobile,164.0
mobile,5.0
connect,-183.0
mobile,735.0
mobile,-48.0
connect,37.0
mobile,456.0
mobile,71.0
mobile,1.0
mobile,-40.0
mobile,-14.0
mobile,-38.0
mobile,24.0
mobile,-11.0
connect,-22.0
mobile,39.0
mobile,37.0
connect,60.0
mobile,-20.0
mobile,-127.0
mobile,21.0
connect,54.0
mobile,-11.0
connect,33.0
mobile,31.0
mobile,157.0
connect,52.0
mobile,-22.0
mobile,86.0
mobile,-18.0
mobile,255.0
mobile,-41.0
mobile,21.0
connect,188.0
mobile,-2.0
mobile,-4.0
mobile,32.0
mobile,84.0
mobile,-471.0
mobile,141.0
mobile,4.0
mobile,67.0
mobile,11.0
connect,5.0
mobile,36.0
mobile,-7.0
mobile,-1.0
mobile,797.0
mobile,-112.0
connect,-36.0
mobile,-69.0
mobile,-22.0
connect,17.0
mobile,47.0
connect,7.0
mobile,3.0
mobile,241.0
mobile,133.0
mobile,870.0
mobile,-13.0
mobile,17.0
mobile,127.0
mobile,-43.0
mobile,-23.0
mobile,-13.0
mobile,-83.0
mobile,42.0
mobile,72.0
connect,24.0
mobile,5.0
mobile,152.0
connect,6.0
connect,107.0
connect,29.0
mobile,80.0
mobile,-672.0
connect,-7.0
mobile,-175.0
mobile,51.0
mobile,-32.0
mobile,-19.0
mobile,-182.0
mobile,5.0
connect,-148.0
connect,-191.0
mobile,1.0
mobile,10.0
mobile,64.0
mobile,295.0
mobile,-62.0
connect,-89.0
connect,9.0
mobile,4.0
mobile,-51.0
mobile,250.0
mobile,84.0
connect,104.0
mobile,33.0
mobile,76.0
mobile,-411.0
mobile,47.0
mobile,-852.0
mobile,67.0
mobile,134.0
connect,27.0
mobile,114.0
mobile,-31.0
connect,-98.0
mobile,19.0
mobile,70.0
mobile,-89.0
mobile,68.0
mobile,-174.0
mobile,36.0
mobile,691.0
mobile,-181.0
mobile,113.0
mobile,126.0
mobile,-58.0
mobile,4.0
mobile,47.0
mobile,172.0
mobile,105.0
mobile,6.0
mobile,-22.0
mobile,146.0
mobile,19.0
mobile,11.0
mobile,-101.0
mobile,-44.0
connect,-111.0
connect,105.0
connect,-105.0
mobile,43.0
mobile,-45.0
mobile,29.0
connect,18.0
connect,289.0
mobile,-309.0
mobile,683.0
mobile,9.0
mobile,-104.0
mobile,72.0
mobile,59.0
mobile,11.0
mobile,-60.0
mobile,77.0
mobile,262.0
mobile,223.0
mobile,162.0
mobile,56.0
connect,550.0
mobile,12.0
mobile,-31.0
mobile,-204.0
mobile,-42.0
connect,-11.0
mobile,-114.0
mobile,-119.0
mobile,130.0
mobile,-126.0
mobile,54.0
mobile,62.0
mobile,843.0
mobile,-459.0
mobile,69.0
mobile,-33.0
connect,-22.0
mobile,10.0
mobile,-25.0
mobile,-46.0
connect,-444.0
mobile,-56.0
mobile,27.0
mobile,1.0
mobile,-693.0
mobile,201.0
connect,53.0
mobile,5306.0
mobile,9.0
connect,76.0
mobile,148.0
connect,-249.0
connect,11.0
mobile,544.0
mobile,100.0
mobile,-106.0
mobile,-1.0
mobile,56.0
connect,15.0
mobile,-22.0
connect,-1084.0
mobile,161.0
mobile,-54.0
mobile,-80.0
connect,-54.0
connect,20.0
mobile,39.0
mobile,-84.0
mobile,294.0
mobile,24.0
connect,-1.0
mobile,50.0
mobile,334.0
mobile,92.0
mobile,424.0
mobile,18.0
mobile,-85.0
mobile,-58.0
mobile,38.0
connect,-301.0
mobile,4.0
connect,-20.0
mobile,-3.0
mobile,131.0
connect,-62.0
mobile,22.0
connect,-107.0
mobile,1392.0
mobile,233.0
mobile,32.0
mobile,4.0
connect,-151.0
mobile,-31.0
mobile,165.0
mobile,45.0
connect,-44.0
mobile,-309.0
mobile,69.0
mobile,-64.0
mobile,-33.0
mobile,5.0
mobile,-46.0
mobile,-2.0
connect,-5.0
mobile,45.0
mobile,72.0
mobile,6.0
mobile,1.0
connect,-99.0
mobile,10.0
mobile,9.0
mobile,-125.0
connect,-33.0
mobile,25.0
connect,-47.0
connect,-32.0
mobile,185.0
mobile,-54.0
connect,51.0
mobile,-27.0
connect,12.0
mobile,-15.0
mobile,-152.0
mobile,2401.0
mobile,-8.0
mobile,25.0
mobile,-5.0
connect,-31.0
mobile,-56.0
mobile,27.0
mobile,-109.0
mobile,1143.0
mobile,68.0
mobile,-3.0
connect,-100.0
mobile,328.0
connect,5.0
mobile,23.0
mobile,-78.0
connect,-10.0
mobile,74.0
mobile,109.0
mobile,11.0
connect,41.0
connect,158.0
mobile,62.0
mobile,-82.0
mobile,353.0
connect,-6.0
connect,-32.0
mobile,-29.0
mobile,12.0
connect,7.0
connect,5.0
connect,64.0
mobile,161.0
mobile,-23.0
connect,-127.0
connect,-82.0
connect,82.0
mobile,-412.0
mobile,-4.0
connect,-6.0
connect,-7.0
mobile,-18.0
mobile,207.0
mobile,15.0
mobile,1696.0
mobile,16.0
mobile,116.0
mobile,153.0
connect,-277.0
mobile,114.0
connect,-73.0
mobile,71.0
connect,27.0
connect,104.0
mobile,101.0
mobile,2.0
connect,-231.0
mobile,-175.0
mobile,15.0
connect,-120.0
mobile,18.0
mobile,182.0
mobile,-147.0
mobile,-231.0
mobile,28.0
mobile,-2.0
mobile,116.0
mobile,37.0
mobile,358.0
connect,-1061.0
mobile,32.0
connect,31.0
mobile,-9.0
mobile,37.0
